epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,421.72,3.42125,4.37421,4.13664,0.00075,0.13972,0.00577,0.00188,3.64258,4.78459,4.09867,0.000361917,0.000361917,0.000361917
2,3569.6,3.20818,4.11283,3.87656,0.00182,0.25834,0.0071,0.00146,2.88363,8.74075,3.61436,0.000725001,0.000725001,0.000725001
3,4616.71,2.88809,3.88865,3.48351,0.00233,0.38816,0.00337,0.001,2.69907,22.6464,3.45811,0.00108075,0.00108075,0.00108075
4,5089.04,2.71333,3.62849,3.26271,0.02637,0.12856,0.02046,0.00511,2.49974,6.84732,3.09825,0.001078,0.001078,0.001078
5,5572.59,2.50393,3.43422,3.01793,0.13449,0.14835,0.08414,0.02587,2.35993,3.95267,3.05581,0.001067,0.001067,0.001067
6,6023.55,2.37777,3.19312,2.90659,0.07424,0.14345,0.11128,0.03538,2.36219,3.58794,2.96552,0.00105601,0.00105601,0.00105601
7,6463.07,2.26245,2.97641,2.81599,0.25343,0.22844,0.19001,0.05952,2.24339,3.38602,2.85795,0.00104501,0.00104501,0.00104501
8,6895.47,2.13476,2.79971,2.67054,0.1487,0.28923,0.23818,0.09531,2.15379,3.6078,2.69638,0.00103401,0.00103401,0.00103401
9,7389.48,2.07836,2.61123,2.60051,0.53855,0.27939,0.28867,0.0934,2.23837,3.01187,2.87498,0.00102301,0.00102301,0.00102301
10,7848.26,1.98624,2.50508,2.51837,0.39339,0.43528,0.40999,0.1864,1.95781,2.60452,2.5611,0.00101201,0.00101201,0.00101201
11,8308.94,1.91816,2.30009,2.43632,0.42918,0.42041,0.40557,0.17053,1.98424,2.57344,2.60779,0.00100101,0.00100101,0.00100101
12,8769.32,1.83322,2.21358,2.40194,0.41896,0.42497,0.40649,0.18746,1.94005,2.70788,2.5214,0.000990012,0.000990012,0.000990012
13,9229.62,1.77766,2.09651,2.32492,0.43085,0.49214,0.42819,0.1664,2.15856,2.43683,2.70435,0.000979013,0.000979013,0.000979013
14,9686.12,1.72,1.99961,2.26779,0.48523,0.48379,0.42242,0.17611,2.07939,2.41135,2.58181,0.000968014,0.000968014,0.000968014
15,10144.8,1.67383,1.8665,2.20793,0.53558,0.53379,0.51239,0.24088,1.83791,2.064,2.35878,0.000957015,0.000957015,0.000957015
16,10602.8,1.62594,1.81136,2.19476,0.54973,0.50608,0.49053,0.23367,1.8828,1.97729,2.43127,0.000946016,0.000946016,0.000946016
17,11069.2,1.60184,1.73719,2.13338,0.54471,0.56798,0.52079,0.25277,1.78973,1.78825,2.35179,0.000935018,0.000935018,0.000935018
18,11527.3,1.55895,1.67029,2.12197,0.53213,0.57152,0.48899,0.23526,1.86261,2.04557,2.42073,0.000924019,0.000924019,0.000924019
19,11989.5,1.56153,1.62173,2.09949,0.5042,0.5982,0.50587,0.23804,1.84765,1.95114,2.40642,0.00091302,0.00091302,0.00091302
20,12450.2,1.50406,1.56076,2.06181,0.68827,0.5682,0.55261,0.27852,1.82196,1.71214,2.30158,0.000902021,0.000902021,0.000902021
21,12909,1.46851,1.45652,2.02822,0.6019,0.54737,0.54036,0.2611,1.79965,1.72329,2.34482,0.000891022,0.000891022,0.000891022
22,13364.6,1.48154,1.50724,2.00238,0.62678,0.59716,0.59081,0.29695,1.73009,1.6737,2.29969,0.000880023,0.000880023,0.000880023
23,13822.7,1.48904,1.47002,2.02145,0.54621,0.57795,0.55536,0.24878,1.91642,1.76804,2.56589,0.000869024,0.000869024,0.000869024
24,14283.6,1.48074,1.43451,2.01251,0.62158,0.59527,0.59938,0.30416,1.77755,1.60984,2.30561,0.000858025,0.000858025,0.000858025
25,14748.6,1.43643,1.43069,1.98069,0.57373,0.67048,0.62446,0.31023,1.75059,1.53263,2.30726,0.000847026,0.000847026,0.000847026
26,15208.2,1.39091,1.35173,1.94116,0.58609,0.57962,0.59623,0.30553,1.70134,1.50447,2.25324,0.000836027,0.000836027,0.000836027
27,15667.8,1.42527,1.33955,1.94173,0.59154,0.63335,0.58425,0.2731,1.83152,1.60338,2.34656,0.000825029,0.000825029,0.000825029
28,16126.6,1.3862,1.3217,1.89763,0.54952,0.7014,0.62249,0.31645,1.72049,1.51408,2.26926,0.00081403,0.00081403,0.00081403
29,16589.4,1.38982,1.31438,1.90598,0.56474,0.63381,0.60723,0.30654,1.74209,1.48088,2.29081,0.000803031,0.000803031,0.000803031
30,17050.9,1.37511,1.27798,1.91204,0.59394,0.5782,0.61336,0.30141,1.85765,1.48519,2.38532,0.000792032,0.000792032,0.000792032
31,17510.2,1.35627,1.23205,1.89084,0.59635,0.65166,0.62091,0.29902,1.83983,1.50658,2.3317,0.000781033,0.000781033,0.000781033
32,17977.6,1.38506,1.23447,1.90042,0.49551,0.63331,0.58927,0.28362,1.84033,1.46873,2.39065,0.000770034,0.000770034,0.000770034
33,18439.8,1.33739,1.18955,1.86989,0.57177,0.6652,0.6319,0.30988,1.7907,1.46878,2.28391,0.000759035,0.000759035,0.000759035
34,18901.4,1.34203,1.21931,1.87301,0.54309,0.7363,0.63308,0.3213,1.78012,1.44263,2.33419,0.000748036,0.000748036,0.000748036
35,19358.7,1.32608,1.18484,1.86048,0.68853,0.56753,0.63281,0.31978,1.71542,1.46308,2.25065,0.000737037,0.000737037,0.000737037
36,19819.1,1.32645,1.20302,1.84865,0.51488,0.78941,0.64642,0.34534,1.66602,1.31799,2.20261,0.000726038,0.000726038,0.000726038
37,20276.8,1.28489,1.10094,1.80235,0.64929,0.68811,0.66474,0.32469,1.7985,1.29348,2.32245,0.00071504,0.00071504,0.00071504
38,20734.6,1.30946,1.10809,1.83396,0.5853,0.70051,0.66518,0.33472,1.75536,1.3092,2.26701,0.000704041,0.000704041,0.000704041
39,21191.7,1.27744,1.09348,1.80261,0.60426,0.74116,0.71784,0.37043,1.68672,1.329,2.24213,0.000693042,0.000693042,0.000693042
40,21656.5,1.28004,1.07891,1.79245,0.55279,0.72121,0.68896,0.34117,1.76868,1.32932,2.36828,0.000682043,0.000682043,0.000682043
41,22120.2,1.27435,1.07629,1.81039,0.62268,0.71256,0.68544,0.33279,1.81184,1.3001,2.36149,0.000671044,0.000671044,0.000671044
42,22580.9,1.29043,1.10155,1.79879,0.62339,0.71775,0.70602,0.35832,1.76448,1.28114,2.26685,0.000660045,0.000660045,0.000660045
43,23043.4,1.25076,1.07517,1.76991,0.63439,0.73517,0.73064,0.37647,1.67129,1.30466,2.24037,0.000649046,0.000649046,0.000649046
44,23501.8,1.30378,1.078,1.83121,0.58996,0.72989,0.70606,0.34825,1.75599,1.34072,2.29806,0.000638047,0.000638047,0.000638047
45,23962.7,1.23683,1.0694,1.77763,0.6845,0.67819,0.71882,0.36452,1.76665,1.21571,2.32766,0.000627048,0.000627048,0.000627048
46,24421.2,1.24071,1.04189,1.77303,0.65637,0.79314,0.77917,0.40015,1.69691,1.18586,2.24782,0.000616049,0.000616049,0.000616049
47,24880.6,1.26745,1.02835,1.79093,0.77152,0.6508,0.76755,0.39542,1.67262,1.16616,2.20589,0.000605051,0.000605051,0.000605051
48,25342.8,1.2677,1.00894,1.77592,0.72612,0.71523,0.77055,0.3963,1.73381,1.1548,2.25916,0.000594052,0.000594052,0.000594052
49,25804.7,1.21703,0.98209,1.74367,0.64699,0.73063,0.73809,0.37076,1.76971,1.23576,2.30913,0.000583053,0.000583053,0.000583053
50,26262.6,1.26566,1.02035,1.77545,0.72916,0.63001,0.74084,0.38026,1.67637,1.25808,2.21228,0.000572054,0.000572054,0.000572054
51,26725.6,1.25098,0.98922,1.77847,0.59561,0.75659,0.73158,0.37251,1.71,1.24463,2.22823,0.000561055,0.000561055,0.000561055
52,27186.8,1.25743,0.99285,1.76315,0.67598,0.73589,0.72835,0.37915,1.72992,1.19688,2.23093,0.000550056,0.000550056,0.000550056
53,27648.5,1.23569,0.98802,1.7362,0.5774,0.79522,0.73546,0.3866,1.6679,1.23612,2.21819,0.000539057,0.000539057,0.000539057
54,28107,1.22017,0.96886,1.73408,0.64619,0.71332,0.73737,0.37934,1.64663,1.2354,2.20198,0.000528058,0.000528058,0.000528058
55,28566.1,1.2342,0.98559,1.73624,0.69408,0.69576,0.73513,0.36736,1.69526,1.16664,2.20552,0.000517059,0.000517059,0.000517059
56,29033.8,1.22925,0.94834,1.71985,0.7383,0.69958,0.76301,0.39917,1.67958,1.19125,2.22839,0.00050606,0.00050606,0.00050606
57,29492.4,1.21212,0.94441,1.72945,0.66886,0.76248,0.77829,0.42316,1.60649,1.18947,2.12858,0.000495062,0.000495062,0.000495062
58,29954.3,1.23811,0.96957,1.74129,0.76049,0.72971,0.78944,0.40455,1.69858,1.10835,2.21643,0.000484063,0.000484063,0.000484063
59,30414.8,1.20564,0.93854,1.71558,0.72509,0.77385,0.79924,0.40217,1.75067,1.14079,2.25052,0.000473064,0.000473064,0.000473064
60,30877.5,1.20186,0.90271,1.72645,0.72515,0.77098,0.78755,0.41641,1.63579,1.15056,2.15091,0.000462065,0.000462065,0.000462065
61,31319.3,1.18626,0.90138,1.67548,0.65101,0.71289,0.74654,0.39245,1.63146,1.22094,2.16437,0.000451066,0.000451066,0.000451066
62,31779,1.19664,0.91236,1.69903,0.73706,0.75257,0.8038,0.40245,1.73729,1.07387,2.21592,0.000440067,0.000440067,0.000440067
63,32234.9,1.19392,0.90338,1.70285,0.69636,0.72242,0.79411,0.42033,1.61413,1.10278,2.16123,0.000429068,0.000429068,0.000429068
64,32702.4,1.18087,0.89018,1.68739,0.67943,0.80992,0.80105,0.43077,1.64987,1.07953,2.16069,0.000418069,0.000418069,0.000418069
65,33164.5,1.18483,0.86387,1.67948,0.80649,0.72564,0.79645,0.42072,1.67503,1.11451,2.20398,0.00040707,0.00040707,0.00040707
66,33622.5,1.18345,0.8907,1.69227,0.69905,0.76033,0.7944,0.42391,1.6168,1.07672,2.14373,0.000396071,0.000396071,0.000396071
67,34096.9,1.18874,0.89114,1.70072,0.68225,0.81977,0.80374,0.40673,1.76216,1.07222,2.31391,0.000385073,0.000385073,0.000385073
68,34589.7,1.15827,0.84516,1.66982,0.75765,0.77098,0.80624,0.42407,1.66267,1.07508,2.1767,0.000374074,0.000374074,0.000374074
69,35080,1.14264,0.86039,1.66412,0.74377,0.70083,0.79596,0.43078,1.62689,1.08517,2.17527,0.000363075,0.000363075,0.000363075
70,35569.1,1.15552,0.84726,1.66198,0.67843,0.7617,0.75462,0.39343,1.72687,1.17301,2.2816,0.000352076,0.000352076,0.000352076
71,36066.9,1.16872,0.8467,1.67944,0.74972,0.74615,0.8153,0.42939,1.63431,1.05665,2.16696,0.000341077,0.000341077,0.000341077
72,36558.7,1.14018,0.83327,1.65427,0.81397,0.74096,0.82648,0.43944,1.66385,1.04827,2.16869,0.000330078,0.000330078,0.000330078
73,37044.9,1.13493,0.82228,1.63802,0.76156,0.71893,0.80875,0.43721,1.63778,1.06135,2.16427,0.000319079,0.000319079,0.000319079
74,37529.3,1.13222,0.80894,1.63913,0.6973,0.72367,0.76763,0.39899,1.66903,1.13618,2.21389,0.00030808,0.00030808,0.00030808
75,37999.8,1.15805,0.8508,1.66065,0.80774,0.7419,0.80005,0.42113,1.66655,1.08591,2.18907,0.000297081,0.000297081,0.000297081
76,38466.1,1.15255,0.8497,1.66167,0.72482,0.76544,0.80378,0.42725,1.61839,1.06042,2.17796,0.000286083,0.000286083,0.000286083
77,38926.6,1.14784,0.83051,1.64664,0.71466,0.78213,0.80617,0.41633,1.693,1.08613,2.22978,0.000275084,0.000275084,0.000275084
78,39386.2,1.1323,0.81303,1.63935,0.73778,0.78105,0.81145,0.43335,1.68066,1.07699,2.2061,0.000264085,0.000264085,0.000264085
79,39859.1,1.12045,0.81478,1.64286,0.73636,0.74931,0.80364,0.41585,1.71273,1.04899,2.20795,0.000253086,0.000253086,0.000253086
80,40320.8,1.11594,0.79116,1.63212,0.72957,0.78268,0.81355,0.43759,1.63923,1.02086,2.17879,0.000242087,0.000242087,0.000242087
81,40776.5,1.15445,0.80901,1.63803,0.78338,0.73961,0.81272,0.43164,1.63863,1.03654,2.1801,0.000231088,0.000231088,0.000231088
82,41213.3,1.10637,0.77414,1.62714,0.69179,0.81723,0.81641,0.43666,1.63281,0.99603,2.16252,0.000220089,0.000220089,0.000220089
83,41649.2,1.10862,0.79775,1.63607,0.76922,0.79085,0.84409,0.43912,1.65513,0.99546,2.17081,0.00020909,0.00020909,0.00020909
84,42084.1,1.12961,0.80155,1.64501,0.74042,0.80057,0.81906,0.44185,1.63623,1.01431,2.14664,0.000198091,0.000198091,0.000198091
85,42516.8,1.09637,0.76687,1.60879,0.72176,0.81006,0.82801,0.43189,1.6687,1.00609,2.1755,0.000187092,0.000187092,0.000187092
86,42958.8,1.1031,0.75386,1.61016,0.73011,0.80795,0.83811,0.43829,1.65337,1.00349,2.17345,0.000176094,0.000176094,0.000176094
87,43392.8,1.09453,0.79006,1.6025,0.76161,0.80115,0.84026,0.4426,1.64199,0.99995,2.15423,0.000165095,0.000165095,0.000165095
