epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.136,3.54111,4.34774,4.13442,0.00105,0.15064,0.00066,0.00015,3.57671,4.13003,4.09353,0.0004,0.0004,0.0004
2,176.283,3.07897,3.92984,3.73603,0.00149,0.23241,0.0021,0.00031,2.94509,3.95463,3.56208,0.000804456,0.000804456,0.000804456
3,221.008,2.74547,3.47953,3.31016,0.00155,0.26574,0.00188,0.00051,3.32404,4.22273,3.89613,0.00120075,0.00120075,0.00120075
4,269.57,2.41631,3.02124,2.97623,0.29675,0.15238,0.01735,0.00473,2.62078,4.2626,3.50595,0.00121287,0.00121287,0.00121287
5,319.877,2.21842,2.78405,2.76718,0.22496,0.12466,0.07396,0.0221,2.62591,3.71976,3.43096,0.0012005,0.0012005,0.0012005
6,371.764,2.07722,2.55298,2.61847,0.24922,0.24675,0.21144,0.06726,2.20944,3.09608,2.88836,0.00118812,0.00118812,0.00118812
7,413.596,2.00959,2.33293,2.55745,0.35041,0.36038,0.31364,0.10743,2.12747,2.51827,2.86808,0.00117575,0.00117575,0.00117575
8,459.115,1.91227,2.15339,2.45206,0.31168,0.28934,0.25287,0.09091,2.21802,2.66279,2.76723,0.00116337,0.00116337,0.00116337
9,508.177,1.83891,1.99021,2.35937,0.37421,0.44553,0.42203,0.16567,2.02601,2.20364,2.56814,0.001151,0.001151,0.001151
10,555.692,1.77972,1.87094,2.28519,0.45427,0.61538,0.52293,0.21635,2.01357,2.0239,2.55588,0.00113863,0.00113863,0.00113863
11,597.792,1.72758,1.7627,2.23961,0.48175,0.6353,0.53646,0.22957,1.99233,1.82257,2.49881,0.00112625,0.00112625,0.00112625
12,640.237,1.68506,1.70031,2.21156,0.5221,0.69287,0.58125,0.25858,1.87201,1.73032,2.39839,0.00111388,0.00111388,0.00111388
13,683.983,1.66297,1.63666,2.14651,0.5831,0.63635,0.60134,0.2737,1.77765,1.74166,2.36705,0.0011015,0.0011015,0.0011015
14,727.777,1.61734,1.5734,2.12816,0.60188,0.71487,0.61897,0.2804,1.84232,1.60126,2.34263,0.00108913,0.00108913,0.00108913
15,768.462,1.5648,1.48709,2.06751,0.61668,0.64439,0.59092,0.29033,1.78823,1.58645,2.35761,0.00107675,0.00107675,0.00107675
16,812.41,1.54109,1.40417,2.03793,0.50585,0.71253,0.62505,0.30422,1.71431,1.49886,2.29597,0.00106437,0.00106437,0.00106437
17,855.2,1.53421,1.39233,2.03684,0.61039,0.7207,0.60363,0.28546,1.75876,1.45975,2.32088,0.001052,0.001052,0.001052
18,898.194,1.50259,1.35843,2.00205,0.55147,0.70914,0.59546,0.28076,1.82217,1.51417,2.3568,0.00103962,0.00103962,0.00103962
