epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.9474,3.53745,4.42131,4.13582,0.00096,0.13484,0.00112,0.00026,3.57959,4.29779,4.1007,0.00035552,0.00035552,0.00035552
2,96.2991,3.02365,3.73923,3.70383,0.00126,0.16925,0.00493,0.00067,3.22643,4.19558,3.86209,0.000715001,0.000715001,0.000715001
3,138.172,2.73981,3.36866,3.32137,0.75056,0.00877,0.00211,0.00103,3.75816,14.3058,4.44319,0.00106722,0.00106722,0.00106722
4,181.38,2.41216,2.92776,2.99574,0.07755,0.26976,0.04382,0.01504,2.7753,6.13564,3.38527,0.001078,0.001078,0.001078
5,223.154,2.27319,2.70184,2.81642,0.36968,0.26133,0.23688,0.08367,2.27141,2.89472,2.99528,0.001067,0.001067,0.001067
6,265.34,2.07534,2.44226,2.62657,0.29234,0.49321,0.36137,0.1293,2.2778,2.65834,2.94579,0.00105601,0.00105601,0.00105601
7,315.043,1.95559,2.21495,2.51192,0.53577,0.54317,0.4868,0.20975,1.99132,2.02694,2.61706,0.00104501,0.00104501,0.00104501
8,360.703,1.86207,2.0313,2.39448,0.51577,0.55327,0.51195,0.22341,1.91244,1.9809,2.49363,0.00103401,0.00103401,0.00103401
9,405.989,1.74267,1.84847,2.26825,0.46163,0.55197,0.46861,0.20319,1.96285,2.13455,2.58617,0.00102301,0.00102301,0.00102301
10,466.077,1.71033,1.7574,2.222,0.55291,0.63751,0.55558,0.24452,1.95945,1.79288,2.53049,0.00101201,0.00101201,0.00101201
11,531.39,1.68877,1.65831,2.17341,0.53236,0.6819,0.57735,0.26582,1.75705,1.70032,2.37927,0.00100101,0.00100101,0.00100101
12,619.917,1.61341,1.59661,2.136,0.63388,0.57483,0.58051,0.27071,1.86968,1.6992,2.4341,0.000990012,0.000990012,0.000990012
13,734.747,1.5835,1.53146,2.05701,0.60327,0.65496,0.6073,0.284,1.77387,1.61094,2.35047,0.000979013,0.000979013,0.000979013
14,849.326,1.53783,1.4661,2.03368,0.6169,0.70971,0.63092,0.29861,1.73057,1.52174,2.30028,0.000968014,0.000968014,0.000968014
15,959.09,1.51218,1.40891,2.00505,0.59233,0.71473,0.62523,0.30966,1.68807,1.44915,2.26679,0.000957015,0.000957015,0.000957015
16,1059.57,1.45247,1.32403,1.95293,0.64159,0.70701,0.67049,0.31076,1.79675,1.44261,2.35991,0.000946016,0.000946016,0.000946016
17,1166.16,1.45134,1.31538,1.94066,0.63144,0.71327,0.63513,0.31109,1.68773,1.41379,2.26403,0.000935018,0.000935018,0.000935018
18,1279.79,1.43298,1.26017,1.92324,0.6349,0.75533,0.67524,0.33938,1.70822,1.25426,2.27058,0.000924019,0.000924019,0.000924019
19,1382.5,1.43068,1.26784,1.91742,0.68478,0.77449,0.71866,0.37221,1.62353,1.22612,2.16644,0.00091302,0.00091302,0.00091302
20,1485.79,1.40856,1.22033,1.88891,0.70161,0.74408,0.69909,0.35668,1.63231,1.21764,2.18998,0.000902021,0.000902021,0.000902021
21,1592.97,1.39766,1.17499,1.8648,0.70129,0.7336,0.67315,0.33796,1.70255,1.27018,2.25294,0.000891022,0.000891022,0.000891022
22,1698.08,1.39597,1.16013,1.86237,0.72593,0.79426,0.7258,0.36451,1.64451,1.15867,2.19644,0.000880023,0.000880023,0.000880023
23,1817.74,1.3539,1.12054,1.81799,0.74484,0.69214,0.74007,0.37653,1.65446,1.15321,2.16039,0.000869024,0.000869024,0.000869024
24,1940.57,1.36515,1.11618,1.81138,0.72108,0.73422,0.76,0.39097,1.64782,1.12847,2.18371,0.000858025,0.000858025,0.000858025
25,2049.36,1.34251,1.08516,1.79922,0.71822,0.73974,0.73815,0.38115,1.67873,1.26025,2.21206,0.000847026,0.000847026,0.000847026
26,2153.28,1.32913,1.05673,1.78282,0.68096,0.75758,0.75972,0.38984,1.63952,1.12799,2.17574,0.000836027,0.000836027,0.000836027
27,2266.87,1.34603,1.07158,1.78128,0.75212,0.78042,0.8135,0.43397,1.63689,1.11153,2.17299,0.000825029,0.000825029,0.000825029
28,2378.23,1.31014,1.00839,1.7496,0.77468,0.75475,0.80039,0.39921,1.76642,1.15682,2.26322,0.00081403,0.00081403,0.00081403
29,2483.3,1.30624,1.03293,1.7573,0.74443,0.78299,0.81362,0.42614,1.60823,1.10165,2.12678,0.000803031,0.000803031,0.000803031
30,2601.81,1.28966,1.0028,1.72869,0.77272,0.72534,0.80922,0.43305,1.61266,1.14852,2.16512,0.000792032,0.000792032,0.000792032
31,2708.72,1.29277,0.97449,1.72915,0.80669,0.80498,0.86193,0.45787,1.61118,0.9673,2.14625,0.000781033,0.000781033,0.000781033
32,2821.74,1.31156,0.95391,1.72934,0.74323,0.82006,0.84341,0.4436,1.6545,1.05313,2.15645,0.000770034,0.000770034,0.000770034
33,2937.76,1.28864,0.94666,1.71909,0.79285,0.78235,0.86008,0.45532,1.65592,0.99925,2.15348,0.000759035,0.000759035,0.000759035
34,3053.22,1.27434,0.96171,1.7233,0.84244,0.80034,0.88017,0.45602,1.6385,0.92828,2.15113,0.000748036,0.000748036,0.000748036
35,3172.35,1.28375,0.94513,1.71088,0.81873,0.81435,0.82736,0.42838,1.67171,1.01146,2.19161,0.000737037,0.000737037,0.000737037
36,3284.66,1.24939,0.89083,1.66014,0.8193,0.78163,0.85055,0.43552,1.67466,0.96062,2.19856,0.000726038,0.000726038,0.000726038
37,3391.93,1.24799,0.87508,1.67825,0.88261,0.8121,0.90644,0.47699,1.61616,0.91432,2.08988,0.00071504,0.00071504,0.00071504
38,3507.1,1.28007,0.88936,1.69308,0.83409,0.82052,0.8719,0.44911,1.62908,0.93473,2.13118,0.000704041,0.000704041,0.000704041
39,3631.72,1.28264,0.89063,1.69133,0.87385,0.83401,0.90444,0.50636,1.52744,0.84642,2.04128,0.000693042,0.000693042,0.000693042
40,3725.45,1.25189,0.88624,1.67225,0.85744,0.80345,0.89266,0.49138,1.55498,0.87214,2.07298,0.000682043,0.000682043,0.000682043
41,3836.57,1.22668,0.85163,1.65686,0.84416,0.824,0.88645,0.47241,1.59181,0.9016,2.11136,0.000671044,0.000671044,0.000671044
42,3947.19,1.23296,0.85645,1.66373,0.817,0.79342,0.85416,0.45438,1.6354,0.9835,2.16529,0.000660045,0.000660045,0.000660045
43,4065.57,1.22987,0.85539,1.65457,0.85387,0.79861,0.87111,0.45644,1.65163,0.90295,2.15507,0.000649046,0.000649046,0.000649046
44,4190.55,1.23098,0.82824,1.65055,0.8609,0.79449,0.85852,0.45982,1.59888,0.91958,2.10832,0.000638047,0.000638047,0.000638047
45,4296.32,1.21836,0.83159,1.63666,0.8399,0.81021,0.88203,0.45974,1.6437,0.91825,2.18959,0.000627048,0.000627048,0.000627048
46,4407.84,1.21062,0.80579,1.6442,0.87042,0.80709,0.88346,0.49323,1.55362,0.86123,2.06487,0.000616049,0.000616049,0.000616049
47,4520.93,1.18914,0.79187,1.61686,0.90031,0.76709,0.8975,0.50209,1.56991,0.83902,2.06082,0.000605051,0.000605051,0.000605051
48,4628.01,1.2136,0.80919,1.62042,0.81711,0.84441,0.88691,0.49586,1.56296,0.85818,2.0622,0.000594052,0.000594052,0.000594052
49,4735.83,1.22166,0.80376,1.63462,0.83715,0.86009,0.89469,0.47196,1.60768,0.86038,2.08842,0.000583053,0.000583053,0.000583053
50,4840.58,1.18809,0.7826,1.60548,0.82989,0.83244,0.87931,0.46716,1.65208,0.88124,2.15197,0.000572054,0.000572054,0.000572054
51,4955.68,1.21193,0.79563,1.62444,0.83916,0.88518,0.91911,0.50568,1.55848,0.80085,2.07386,0.000561055,0.000561055,0.000561055
52,5066.14,1.18667,0.76974,1.60505,0.8259,0.84503,0.8712,0.46903,1.5978,0.87828,2.08033,0.000550056,0.000550056,0.000550056
53,5170.55,1.17746,0.77584,1.59728,0.84064,0.80036,0.8723,0.47902,1.56667,0.89643,2.04131,0.000539057,0.000539057,0.000539057
54,5273.19,1.18222,0.78599,1.60186,0.85689,0.83374,0.91181,0.50347,1.57715,0.83332,2.07481,0.000528058,0.000528058,0.000528058
55,5378.2,1.16146,0.74389,1.57278,0.84885,0.83566,0.87874,0.49018,1.58987,0.82814,2.08587,0.000517059,0.000517059,0.000517059
56,5497.55,1.15281,0.74293,1.58551,0.8738,0.84826,0.91476,0.522,1.55847,0.79458,2.04367,0.00050606,0.00050606,0.00050606
57,5597.03,1.16714,0.76455,1.58828,0.82192,0.85108,0.89921,0.48901,1.58305,0.82248,2.09302,0.000495062,0.000495062,0.000495062
58,5710.45,1.16569,0.76561,1.58151,0.84816,0.87261,0.91457,0.50521,1.5717,0.79038,2.0887,0.000484063,0.000484063,0.000484063
59,5817.98,1.15433,0.73355,1.57452,0.84433,0.86832,0.90884,0.50762,1.55618,0.791,2.0743,0.000473064,0.000473064,0.000473064
60,5931.12,1.153,0.72509,1.57166,0.8698,0.84475,0.91707,0.49812,1.59048,0.80952,2.08436,0.000462065,0.000462065,0.000462065
61,6045.03,1.16915,0.74127,1.59142,0.85655,0.84632,0.89281,0.4927,1.56342,0.81041,2.06945,0.000451066,0.000451066,0.000451066
62,6132.55,1.15829,0.72712,1.57772,0.83881,0.85013,0.89872,0.50575,1.56053,0.82205,2.05452,0.000440067,0.000440067,0.000440067
63,6202.97,1.14337,0.71432,1.58194,0.84522,0.85236,0.90517,0.50103,1.54209,0.78821,2.04704,0.000429068,0.000429068,0.000429068
64,6272.42,1.14898,0.72986,1.5675,0.83596,0.87662,0.90743,0.49802,1.57166,0.79978,2.05244,0.000418069,0.000418069,0.000418069
65,6348.7,1.14185,0.71418,1.55433,0.85618,0.84542,0.89875,0.48787,1.58762,0.80762,2.07577,0.00040707,0.00040707,0.00040707
66,6415.54,1.14668,0.71067,1.56117,0.8809,0.81913,0.89975,0.49992,1.55266,0.80426,2.03716,0.000396071,0.000396071,0.000396071
67,6521.28,1.14595,0.70735,1.54661,0.84163,0.86434,0.89944,0.49647,1.56378,0.79011,2.05481,0.000385073,0.000385073,0.000385073
68,6623.56,1.11844,0.69882,1.53579,0.8559,0.83111,0.88927,0.47854,1.61586,0.80993,2.09011,0.000374074,0.000374074,0.000374074
69,6725.9,1.13413,0.68926,1.54816,0.86111,0.88571,0.9088,0.50503,1.57588,0.75637,2.07011,0.000363075,0.000363075,0.000363075
70,6839.31,1.11112,0.68586,1.543,0.86005,0.86497,0.89038,0.48384,1.57538,0.80485,2.05685,0.000352076,0.000352076,0.000352076
71,6947.61,1.1248,0.68838,1.53252,0.86624,0.85412,0.91505,0.51685,1.53077,0.76038,2.00676,0.000341077,0.000341077,0.000341077
72,7056.54,1.12893,0.68965,1.53727,0.87882,0.8391,0.91122,0.50074,1.56489,0.78454,2.05369,0.000330078,0.000330078,0.000330078
73,7135.43,1.13209,0.6891,1.5342,0.87116,0.83677,0.90521,0.48941,1.58501,0.80774,2.0614,0.000319079,0.000319079,0.000319079
74,7218.65,1.09266,0.66306,1.52643,0.85436,0.8364,0.89322,0.49752,1.53239,0.78681,2.02223,0.00030808,0.00030808,0.00030808
75,7314.41,1.09245,0.66297,1.50697,0.80213,0.8836,0.8855,0.4888,1.5781,0.8181,2.0459,0.000297081,0.000297081,0.000297081
76,7417.56,1.10439,0.67221,1.52807,0.86809,0.87545,0.90571,0.50523,1.56009,0.7796,2.04965,0.000286083,0.000286083,0.000286083
77,7530.94,1.11025,0.66126,1.53481,0.85632,0.87952,0.91378,0.50918,1.5619,0.75651,2.05005,0.000275084,0.000275084,0.000275084
78,7628.36,1.10644,0.66398,1.52444,0.89177,0.84971,0.91436,0.51682,1.53991,0.74331,2.03198,0.000264085,0.000264085,0.000264085
79,7710.96,1.0881,0.64962,1.5195,0.84163,0.8924,0.87996,0.48668,1.57171,0.82526,2.04398,0.000253086,0.000253086,0.000253086
80,7811.55,1.08817,0.66109,1.5132,0.81918,0.90319,0.90859,0.51954,1.51825,0.76186,1.97849,0.000242087,0.000242087,0.000242087
81,7903.95,1.0971,0.65436,1.51692,0.86792,0.84956,0.90815,0.51514,1.54507,0.75309,2.02278,0.000231088,0.000231088,0.000231088
82,7995.47,1.09378,0.63948,1.51905,0.86827,0.87452,0.90276,0.50205,1.55382,0.74885,2.04091,0.000220089,0.000220089,0.000220089
83,8084.73,1.07731,0.63965,1.49469,0.86769,0.87061,0.89532,0.50641,1.54784,0.80746,2.01361,0.00020909,0.00020909,0.00020909
84,8170.96,1.0973,0.65614,1.51292,0.86292,0.88631,0.9026,0.50761,1.54103,0.75101,2.02602,0.000198091,0.000198091,0.000198091
85,8246.81,1.08745,0.64359,1.50364,0.87048,0.84539,0.87946,0.48755,1.56968,0.7991,2.06499,0.000187092,0.000187092,0.000187092
86,8332.28,1.08101,0.63374,1.50411,0.86707,0.86446,0.90478,0.50567,1.55848,0.75298,2.03969,0.000176094,0.000176094,0.000176094
87,8412.44,1.07786,0.62673,1.50372,0.86281,0.85713,0.87933,0.4943,1.55873,0.80237,2.0324,0.000165095,0.000165095,0.000165095
88,8482.84,1.07553,0.63126,1.49959,0.84535,0.87687,0.89755,0.50555,1.55823,0.77622,2.0459,0.000154096,0.000154096,0.000154096
89,8575.83,1.06529,0.6172,1.495,0.86137,0.86918,0.90094,0.51033,1.55331,0.77583,2.06638,0.000143097,0.000143097,0.000143097
90,8650.78,1.07681,0.63038,1.50333,0.85542,0.8613,0.89532,0.50834,1.54854,0.76384,2.04277,0.000132098,0.000132098,0.000132098
91,8701.66,1.05881,0.51705,1.57989,0.87238,0.84995,0.89999,0.49817,1.56062,0.77929,2.07827,0.000121099,0.000121099,0.000121099
92,8740.54,1.02476,0.48708,1.53636,0.88123,0.87444,0.90748,0.51696,1.53297,0.73696,2.0386,0.0001101,0.0001101,0.0001101
93,8779.97,1.02071,0.48295,1.54798,0.87025,0.88313,0.90819,0.51734,1.53458,0.74509,2.04913,9.91012e-05,9.91012e-05,9.91012e-05
94,8821.96,1.01289,0.47732,1.53401,0.85693,0.88917,0.91394,0.51565,1.54045,0.72819,2.05122,8.81023e-05,8.81023e-05,8.81023e-05
95,8861.28,1.00869,0.47441,1.52941,0.86937,0.88771,0.90369,0.51685,1.52307,0.72803,2.03268,7.71034e-05,7.71034e-05,7.71034e-05
96,8903.34,1.00214,0.46902,1.53877,0.87151,0.87986,0.90709,0.51781,1.5291,0.74584,2.04513,6.61045e-05,6.61045e-05,6.61045e-05
97,8942.78,1.00033,0.463,1.52769,0.89213,0.89321,0.92545,0.53031,1.53422,0.71296,2.05042,5.51056e-05,5.51056e-05,5.51056e-05
98,8984.49,1.00034,0.46707,1.53281,0.88635,0.89299,0.91361,0.52259,1.53085,0.72301,2.03764,4.41067e-05,4.41067e-05,4.41067e-05
99,9024.62,0.99015,0.45963,1.52772,0.89431,0.89111,0.90968,0.52047,1.52618,0.72237,2.03696,3.31078e-05,3.31078e-05,3.31078e-05
100,9063.83,0.99567,0.46232,1.53206,0.88087,0.89486,0.91089,0.52336,1.52902,0.71735,2.0382,2.21089e-05,2.21089e-05,2.21089e-05
